Tweet
"Gempa bumi dengan kekuatan magnitudo (M) 5,2 terjadi di Kabupaten Nias Selatan, Sumatera Utara. Gempa ada pada kedalaman 37 kilometer. https://t.co/xzS07zdvc3"
Pele adalah nama besar yang tak bisa ditolak-tolak di zamannya. Sebuah buktinya: perang pun berhenti demi aksi-aksi sang legenda Brasil. https://t.co/xPrUi15SMd
"Atletico Madrid melanjutkan kiprahnya di LaLiga musim ini dengan kemenangan. Diwarnai 3 kartu merah, Los Colchoneros menang 2-0 atas Elche. https://t.co/WvmfeQVioa"
Istri Bripka HK berinisial IS protes dengan sanksi yang diberikan kepada suaminya karena dinilai tidak berkeadilan. https://t.co/TDyZEgsjDr
"Pelatih Timnas Thailand, Alexandre Polking mengapresiasi perjuangan timnya yang berhasil menahan imbang Timnas Indonesia 1-1 meski bermain dengan 10 pemain. https://t.co/ETHIWKtrhR"
"Cody Gakpo, yang sempat santer dikaitkan dengan MU, kini malah digaet Liverpool. Tapi mungkin MU memang tak pernah serius menjadikan Gakpo sebagai target. https://t.co/1NagWJpIVt"
BMKG mewanti-wanti adanya potensi hujan ekstrem di Jabodetabek hari ini. BMKG menegaskan bahwa prediksi ini bukanlah badai. https://t.co/DuFyyuN1PH
BMKG hari ini telah mengumumkan prakiraan cuaca Jabodetabek. Masyarakat diimbau untuk waspada karena ada potensi hujan ekstrem di Jabodetabek. https://t.co/K1vkr8o1ol
"Pesepakbola legendaris Pele meninggal dunia. Pria yang disebut sebagai Raja Sepakbola itu meninggalkan warisan besar, termasuk aksi-aksi terbaik di Piala Dunia. https://t.co/m2ebONdQK7"
Gemuruh Stadion Gelora Bung Karno bikin Manajer timnas Thailand Nuanphan Lamsam amat terkesan. Ia pun memuji lantangnya suporter timnas Indonesia. https://t.co/LxU3VBNZ0l
Awiek menilai KRL bersifat komunal sehingga akan sulit membedakan antara 'si kaya' dan bukan. https://t.co/aMZKuvE8zm
"Pesepakbola legendaris Pele meninggal dunia. Pria yang disebut sebagai Raja Sepakbola itu meninggalkan warisan besar, termasuk aksi-aksi terbaik di Piala Dunia. https://t.co/YSt2sKqVwh"
Nikita Mirzani kini bisa tersenyum lebar usai hakim membebaskannya dari dakwaan jaksa penuntut umum terkait pencemaran nama baik Dito Mahendra. https://t.co/NQSyryC2r2
"Witan Sulaeman gagal bikin gol saat gawang kosong Thailand di Piala AFF 2022. Penyerang Indonesia itu diledek mirip Darwin Nunez, striker Liverpool. https://t.co/0E7X1aFAsb"
"Tiga gadis di Grobogan, tercebur got dan sekujur tubuhnya hitam pekat berlumur air comberan. Video 3 gadis ini yang menjadi 'hitam pekat' viral di media sosial. https://t.co/DmjT5m9lUq"
Pele meninggal dunia di usia 82 tahun. Legenda Brasil itu tutup usia karena komplikasi kanker kolon (usus besar) yang diidapnya. https://t.co/0YGSsQDsFi
"Indonesia, Thailand, dan Kamboja akan memperebutkan dua tiket semifinal Piala AFF 2022 dari Grup A. Bagaimana peluang masing-masing negara? https://t.co/Kyuvf1360t"
"Motor gede Harley-Davidson tabrak nenek penjual tisu di Menteng, Jakpus, disita di Polres Metro Jakarta Pusat sebagai barang bukti. https://t.co/SVhTyZE0Xz"
Sebuah kasino di perbatasan Kamboja kebakaran. Setidaknya ada 19 orang yang tewas. https://t.co/s49Q31PgmU
